Fullname,Nickname,formationDate,fundation,status
Araguaína Futebol e Regatas,Tourão do Norte,1997-02-28,1997-02-28,Found
Associação Desportiva Cabofriense,Tricolor,1997-01-01,1955-11-15,Found
Gurupi Esporte Clube,Camaleão do Sul,-,"Juny 13, 1988",Found
Atlético Cajazeirense de Desportos,Alviceleste,1948-07-03,1948-07-03,Found
Colo Colo de Futebol e Regatas,Tigrão,1948-04-03,1948-04-03,Found
Andirá Esporte Clube,Morcego,1964-11-01,1964-11-01,Found
-,-,-,-,Found
-,-,-,-,NotFound
-,-,-,-,Found
Atlético Clube Paranavaí,Vermelhinho do fim da linha,1946-03-14,1946-03-14,Found
-,-,-,-,Found
-,-,-,-,NotFound
Cianorte Futebol Clube,Leão do Vale do Ivaí,2002-02-13,2002-02-13,Found
Globo Futebol Clube,Águias,2012-10-18,2012-10-18,Found
Sport Club Genus de Porto Velho,Aurigrená da Capital,1981-11-15,1981-11-15,Found
-,-,-,-,NotFound
Esporte Clube Águia Negra,Águia,1972-05-31,1972-05-31,Found
Esporte Clube Jacuipense,Leão grená,1965-04-21,1965-04-21,Found
Manaus Futebol Clube,Gavião Real,2013-05-05,2013-05-05,Found
Sociedade Esportiva Ypiranga Futebol Clube,Azulino,1938-07-03,1938-07-03,Found
Castanhal Esporte Clube,Japiim da Estrada,1924-09-07,1924-09-07,Found
Grêmio Esportivo Juventus,Tricolor Jaraguaense,1966-05-01,1966-05-01,Found
Clube 15 de Novembro,15,1911-11-15,--11-15,Found
-,-,-,-,NotFound
Amapá Clube,Zebra,1944-02-26,1944-02-26,Found
Clube Municipal Ananindeua,Tartaruga,1978-01-03,1978-01-03,Found
Clube Atlético Hermann Aichinger,Capeta,1951-09-20,1951-09-20,Found
Bacabal Esporte Clube,Leão do Mearim,1974-05-14,1974-05-14,Found
-,-,-,-,Found
Associação Atlética Batel,-,1951-03-17,1951-03-17,Found
-,-,-,-,NotFound
-,-,-,-,Found
-,-,-,-,Found
Grêmio Atlético Coariense,Tricolor de Coari,1977-01-06,1977-01-06,Found
Grêmio Esportivo Anápolis,Azulão Anapolino,-,-,Found
-,-,-,-,Found
-,-,-,-,Found
Itapipoca Esporte Clube,Garoto Travesso dos Três Climas,1993-12-20,1993-12-20,Found
Atlético Clube Izabelense,Frangão da Estrada,1924-04-26,1924-04-26,Found
Associação Esportiva Jataiense,Raposa do Sudoeste,1952-01-01,1952-01-01,Found
Kaburé Esporte Clube,-,1985-01-05,1985-01-05,Found
Linhares Futebol Clube,-,2001-08-16,2001-08-16,Found
Centro Sportivo Maruinense,CSM,1917-04-03,1917-04-03,Found
Sociedade Esportiva Matonense,Águia azul,1976-05-24,1976-05-24,Found
-,-,-,-,Found
Planaltina Esporte Clube,-,1963-05-30,1963-05-30,Found
Ponta Grossa Esporte Clube,-,1994-06-30,1994-06-30,Found
Atlético Progresso Clube,Verdão,1959-07-21,1959-07-21,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Sertãozinho Futebol Clube,Touro dos Canaviais,1944-08-06,1944-08-06,Found
Esporte Clube Taveirópolis,Taveira,1938-07-30,1938-07-30,Found
-,-,-,-,NotFound
Associação Desportiva Vasco da Gama,Bacalhau D&#39;água Doce,1952-06-28,1952-06-28,Found
Esporte Clube Viana,Leão da Baixada,1995-06-15,1995-06-15,Found
Clube Atlético Metropolitano,Verdão,2002-01-22,2002-01-22,Found
-,-,-,-,NotFound
Esporte Clube Primeiro Passo Vitória da Conquista,Bode,2005-01-21,2005-01-21,Found
Associação Atlética de Altos,Jacaré,2013-07-19,2013-07-19,Found
Boavista Sport Club,Verdão de Saquarema,1961-10-14,2004-03-10,Found
Sociedade Desportiva Juazeirense,Cancão de Fogo,2006-12-12,2006-12-12,Found
União Recreativa dos Trabalhadores,Trovão Azul,1939-07-09,1939-07-09,Found
Grêmio Novorizontino,O Tigre do Vale,2010-03-01,2010-03-01,Found
Associação Atlética Luziânia,Azulino do Entorno,1926-12-13,1926-12-13,Found
Trem Desportivo Clube,Locomotiva,1947-01-01,1947-01-01,Found
4,Colorado de Piripiri,1987-07-04,1987-07-04,Found
Cristal Atlético Clube,Dragão,1969-11-15,1969-11-15,Found
Floresta Esporte Clube,Lobo da Vila Manoel Sátiro,1954-11-09,1954-11-09,Found
Clube Atlético Linense,Elefante da Noroeste,1927-06-12,1927-06-12,Found
-,-,-,-,NotFound
Sociedade Esportiva Vila Aurora,Tigrão,1964-05-05,1964-05-05,Found
-,-,-,-,NotFound
Associação Botafogo Futebol Clube,Alvinegro candango,2009-07-14,2004-07-14,Found
