Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
2F,1966-08-07,,Paysandu,Flamengo-PI,2,0
3F,1966-08-14,,Anápolis,Rabello-DF,4,1
2F,1966-08-15,,Campinense,CSA,2,3
2F,1966-08-15,,Flamengo-PI,Paysandu,2,0
8F,1966-08-17,,Ferroviário-PR,Grêmio,0,0
2F,1966-08-18,,Flamengo-PI,Paysandu,0,0
2F,1966-08-21,,CSA,Campinense,2,0
4F,1966-08-23,,Anápolis,Americano,2,0
4F,1966-08-28,,Americano,Anápolis,2,1
4F,1966-08-30,,Americano,Anápolis,3,2
3F,1966-08-31,,CSA,Vitória,2,3
3F,1966-08-31,,Fortaleza,Paysandu,3,1
1/8,1966-09-04,,Grêmio,Ferroviário-PR,3,0
3F,1966-09-07,,Paysandu,Fortaleza,1,1
1/8,1966-09-07,,Americano,Cruzeiro,0,4
3F,1966-09-13,,Vitória,CSA,4,2
1/8,1966-09-14,,Cruzeiro,Americano,6,1
4F,1966-09-20,,Fortaleza,Vitória,1,1
4F,1966-09-23,,Vitória,Fortaleza,4,0
1/8,1966-09-28,,Náutico,Vitória,3,0
1/8,1966-10-05,,Vitória,Náutico,2,3
QF,1966-10-09,,Grêmio,Cruzeiro,0,0
QF,1966-10-19,,Palmeiras,Náutico,0,0
QF,1966-10-23,,Cruzeiro,Grêmio,2,1
QF,1966-10-26,,Náutico,Palmeiras,0,0
QF,1966-10-28,,Náutico,Palmeiras,3,0
SF,1966-11-09,,Náutico,Santos,0,2
SF,1966-11-09,,Cruzeiro,Fluminense,1,0
SF,1966-11-17,,Santos,Náutico,3,5
SF,1966-11-19,,Santos,Náutico,4,1
SF,1966-11-23,,Fluminense,Cruzeiro,1,3
F,1966-11-30,,Cruzeiro,Santos,6,2
F,1966-12-07,,Santos,Cruzeiro,2,3
1F,1966-07-10,,CSA,Confiança,2,0
3F,1966-07-10,,Desportiva Ferroviária,Americano,2,2
4F,1966-07-10,,Inter de Lages,Ferroviário-PR,3,3
1F,1966-07-13,,Paysandu,Rio Negro-AM,6,0
3F,1966-07-13,,Rabello-DF,Anápolis,2,0
1F,1966-07-14,,Campinense,ABC,2,0
1F,1966-07-17,,Rio Negro-AM,Paysandu,0,3
3F,1966-07-17,,Americano,Desportiva Ferroviária,3,0
4F,1966-07-17,,Ferroviário-PR,Inter de Lages,2,0
1F,1966-07-17,,Confiança,CSA,0,1
1F,1966-07-17,,Flamengo-PI,Sampaio Corrêa,2,0
3F,1966-07-20,,Anápolis,Rabello-DF,1,0
1F,1966-07-24,,Sampaio Corrêa,Flamengo-PI,1,1
1F,1966-07-24,,ABC,Campinense,1,2
2F,1966-08-07,,Paysandu,Flamengo-PI,2,0
3F,1966-08-14,,Anápolis,Rabello-DF,4,1
2F,1966-08-15,,Campinense,CSA,2,3
2F,1966-08-15,,Flamengo-PI,Paysandu,2,0
8F,1966-08-17,,Ferroviário-PR,Grêmio,0,0
2F,1966-08-18,,Flamengo-PI,Paysandu,0,0
2F,1966-08-21,,CSA,Campinense,2,0
4F,1966-08-23,,Anápolis,Americano,2,0
4F,1966-08-28,,Americano,Anápolis,2,1
4F,1966-08-30,,Americano,Anápolis,3,2
3F,1966-08-31,,CSA,Vitória,2,3
3F,1966-08-31,,Fortaleza,Paysandu,3,1
1/8,1966-09-04,,Grêmio,Ferroviário-PR,3,0
3F,1966-09-07,,Paysandu,Fortaleza,1,1
1/8,1966-09-07,,Americano,Cruzeiro,0,4
3F,1966-09-13,,Vitória,CSA,4,2
1/8,1966-09-14,,Cruzeiro,Americano,6,1
4F,1966-09-20,,Fortaleza,Vitória,1,1
4F,1966-09-23,,Vitória,Fortaleza,4,0
1/8,1966-09-28,,Náutico,Vitória,3,0
1/8,1966-10-05,,Vitória,Náutico,2,3
QF,1966-10-09,,Grêmio,Cruzeiro,0,0
