UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
MT,Barra do Garças †,Barra do Garças,0,–,2,–,1,0,–,–,0,–
RJ,Bonsucesso,Rio de Janeiro,0,–,2,–,–,0,–,–,0,–
PE,Ferroviário do Recife †,Recife,0,–,2,–,–,0,–,–,0,–
RS,Santa Cruz-RS,Santa Cruz do Sul,0,–,2,–,–,0,–,–,0,–
RJ,Serrano-RJ,Petrópolis,0,–,2,–,–,0,–,–,0,–
PA,Sport Belém,Belém,0,–,2,–,–,0,–,–,0,–
PR,União Bandeirante †,Bandeirantes,0,–,1,–,–,10,–,–,0,–
PE,Salgueiro,Salgueiro,0,–,1,–,1,9,1,2,3,1
RJ,Macaé,Macaé,0,–,1,–,1,9,1,1,2,1
MA,Imperatriz [IMP],Imperatriz,0,–,1,–,–,8,–,1,3,1
ES,Estrela do Norte,Cachoeiro de Itapemirim,0,–,1,–,–,7,–,–,1,–
PI,Picos,Picos,0,–,1,–,–,5,–,–,1,–
DF,Ceilândia,Ceilândia,0,–,1,–,–,4,–,–,5,–
SP,União Barbarense,Santa Bárbara d'Oeste,0,–,1,–,1,4,1,–,0,–
CE,Icasa EC †,Juazeiro do Norte,0,–,1,–,–,3,–,–,0,–
PI,Parnahyba,Parnaíba,0,–,1,–,–,2,–,–,3,–
AC,Independência,Rio Branco,0,–,1,–,–,2,–,–,0,–
SE,Lagarto EC †,Lagarto,0,–,1,–,–,2,–,–,0,–
PB,Nacional de Patos,Patos,0,–,1,–,–,2,–,–,0,–
RJ,AA Cabofriense †,Cabo Frio,0,–,1,–,–,1,–,–,0,–
MG,Democrata-SL,Sete Lagoas,0,–,1,–,–,1,–,–,0,–
MS,Douradense †,Dourados,0,–,1,–,–,1,–,–,0,–
PE,Estudantes †,Timbaúba,0,–,1,–,–,1,–,–,0,–
RS,Glória,Vacaria,0,–,1,–,–,1,–,–,0,–
AM,Princesa do Solimões,Manacapuru,0,–,1,–,–,0,–,–,3,–
BA,Serrano-BA †,Porto Seguro,0,–,1,–,–,0,–,–,1,–
CE,Tiradentes-CE,Fortaleza,0,–,1,–,–,0,–,–,1,–
SC,América de Joinville †,Joinville,0,–,1,–,–,0,–,–,0,–
DF,Atlético Taguatinga [CBA] †,Taguatinga,0,–,1,–,–,0,–,–,0,–
BA,Botafogo-BA [BSC] †,Senhor do Bonfim,0,–,1,–,–,0,–,–,0,–
CE,Calouros do Ar,Fortaleza,0,–,1,–,–,0,–,–,0,–
SP,GE Catanduvense †,Catanduva,0,–,1,–,–,0,–,–,0,–
RJ,Central-RJ †,Barra do Piraí,0,–,1,–,–,0,–,–,0,–
ES,Guarapari †,Guarapari,0,–,1,–,–,0,–,–,0,–
CE,Maguari †,Fortaleza,0,–,1,–,–,0,–,–,0,–
PR,Foz do Iguaçu EC †,Foz do Iguaçu,0,–,1,–,–,0,–,–,0,–
GO,Nacional de Itumbiara †,Itumbiara,0,–,1,–,–,0,–,–,0,–
AM,Rodoviária †,Manaus,0,–,1,–,–,0,–,–,0,–
AL,São Domingos †,Marechal Deodoro,0,–,1,–,–,0,–,–,0,–
RJ,Madureira,Rio de Janeiro,0,–,0,–,–,13,–,1,5,1
SP,Rio Branco-SP,Americana,0,–,0,–,–,12,–,–,0,–
PA,Águia de Marabá,Marabá,0,–,0,–,–,10,–,1,1,–
SP,Atlético Sorocaba †,Sorocaba,0,–,0,–,–,10,–,–,0,–
PE,Porto-PE,Caruaru,0,–,0,–,–,8,–,–,2,–
RO,Ji-Paraná,Ji-Paraná,0,–,0,–,–,8,–,–,1,–
RS,São José-RS,Porto Alegre,0,–,0,–,–,7,–,–,5,1
TO,Tocantinópolis,Tocantinópolis,0,–,0,–,–,7,–,–,4,–
RS,Ypiranga de Erechim,Erechim,0,–,0,–,–,7,–,–,2,1
MG,Tombense,Tombos,0,–,0,–,–,7,–,–,1,1
MS,CENE †,Campo Grande,0,–,0,–,–,6,–,–,3,–
RJ,Friburguense,Nova Friburgo,0,–,0,–,–,6,–,–,2,–
BA,Juazeiro,Juazeiro,0,–,0,–,–,6,–,–,0,–
TO,Palmas,Palmas,0,–,0,–,–,5,–,–,5,–
AP,Ypiranga-AP,Macapá,0,–,0,–,–,5,–,–,4,–
RR,Atlético Roraima,Boa Vista,0,–,0,–,–,5,–,–,3,–
RR,Baré,Boa Vista,0,–,0,–,–,5,–,–,3,–
PR,Iraty †,Irati,0,–,0,–,–,5,–,–,1,–
PR,Rio Branco-PR,Paranaguá,0,–,0,–,–,5,–,–,1,–
PE,Vitória-PE [VIT],Vitória de Santo Antão,0,–,0,–,–,5,–,–,1,–
RS,Canoas [CAN] †,Canoas,0,–,0,–,–,5,–,–,0,–
AL,Corinthians-AL †,Maceió,0,–,0,–,–,5,–,–,0,–
PR,Matsubara †,Cambará,0,–,0,–,–,5,–,–,0,–
SP,Portuguesa Santista,Santos,0,–,0,–,–,5,–,–,0,–
SC,Tubarão-SC †,Tubarão,0,–,0,–,–,5,–,–,0,–
AC,Atlético Acreano,Rio Branco,0,–,0,–,–,4,–,1,6,1
AL,Coruripe,Coruripe,0,–,0,–,–,4,–,–,6,–
GO,CRAC,Catalão,0,–,0,–,–,4,–,2,3,1
RR,São Raimundo-RR,Boa Vista,0,–,0,–,–,3,–,–,6,–
SP,Mirassol,Mirassol,0,–,0,–,–,3,–,–,5,1
PB,Sousa,Sousa,0,–,0,–,–,3,–,–,4,–
TO,Araguaína,Araguaína,0,–,0,–,–,3,–,1,2,1
RJ,Cabofriense,Cabo Frio,0,–,0,–,–,3,–,–,2,–
TO,Gurupi,Gurupi,0,–,0,–,–,3,–,–,2,–
PB,Atlético Cajazeirense,Cajazeiras,0,–,0,–,–,3,–,–,1,–
BA,Colo Colo,Ilhéus,0,–,0,–,–,3,–,–,1,–
AC,Andirá,Rio Branco,0,–,0,–,–,3,–,–,0,–
